loss,accuracy,precision,recall,auc,f1_score,val_loss,val_accuracy,val_precision,val_recall,val_auc,val_f1_score,lr
1.4957026243209839,0.6788793206214905,0.26595744490623474,0.16163793206214905,0.5169563889503479,0.217092365026474,233.77297973632812,0.5902777910232544,0.1805555522441864,0.1805555522441864,0.45370370149612427,0.15624995529651642,0.001
1.2650264501571655,0.7610114216804504,0.5393586158752441,0.3017944395542145,0.7183286547660828,0.3839361071586609,107.85194396972656,0.5902777910232544,0.1805555522441864,0.1805555522441864,0.45370370149612427,0.15624995529651642,0.001
1.2128963470458984,0.7642740607261658,0.5513196587562561,0.30668842792510986,0.7379875183105469,0.393568754196167,53.04179000854492,0.5833333134651184,0.1666666716337204,0.1666666716337204,0.44675928354263306,0.14843745529651642,0.001
1.0675318241119385,0.7838498950004578,0.6253776550292969,0.3376835286617279,0.7935904264450073,0.43636685609817505,74.23667907714844,0.625,0.25,0.25,0.4861432611942291,0.3046874403953552,0.001
1.0612479448318481,0.7867047190666199,0.6433120965957642,0.3295269310474396,0.7926252484321594,0.4362815022468567,30.84378433227539,0.5902777910232544,0.1805555522441864,0.1805555522441864,0.4522247910499573,0.10156247764825821,0.001
1.0492303371429443,0.7879282236099243,0.6768060922622681,0.2903752028942108,0.7997449040412903,0.40541258454322815,18.050649642944336,0.5902777910232544,0.1805555522441864,0.1805555522441864,0.45370370149612427,0.2656249403953552,0.001
1.0153340101242065,0.7915986776351929,0.7217391133308411,0.27079933881759644,0.8053866624832153,0.3923947215080261,8.853708267211914,0.5902777910232544,0.1805555522441864,0.1805555522441864,0.4628343880176544,0.3203124403953552,0.001
0.9822568893432617,0.7989396452903748,0.7803738117218018,0.2724306583404541,0.8167899250984192,0.4048398435115814,4.461116790771484,0.6041666865348816,0.19117647409439087,0.1805555522441864,0.5152713656425476,0.159274160861969,0.001
0.9559786319732666,0.7964926362037659,0.7688679099082947,0.26590538024902344,0.8337209820747375,0.39731746912002563,1.4119410514831543,0.7152777910232544,0.3684210479259491,0.1944444477558136,0.6517489552497864,0.22999994456768036,0.001
0.9232568740844727,0.804649293422699,0.8101851940155029,0.2854812443256378,0.8476772308349609,0.4235842823982239,1.543553113937378,0.7708333134651184,0.5483871102333069,0.4722222089767456,0.7314814329147339,0.4502118229866028,0.001
0.9182658791542053,0.8103588819503784,0.8274336457252502,0.3050571084022522,0.8415887951850891,0.4459647536277771,3.9786503314971924,0.7222222089767456,0.43939393758773804,0.4027777910232544,0.6978845596313477,0.5092212557792664,0.001
0.8918246030807495,0.809135377407074,0.8680202960968018,0.27895596623420715,0.8575583100318909,0.4135848879814148,10.515289306640625,0.6736111044883728,0.34285715222358704,0.3333333432674408,0.584908664226532,0.29960310459136963,0.001
0.8812994360923767,0.8148450255393982,0.7890909314155579,0.35399672389030457,0.862275242805481,0.4872714877128601,8.96924877166748,0.6944444179534912,0.3857142925262451,0.375,0.6033628582954407,0.37797611951828003,0.001
0.8519608974456787,0.8221859931945801,0.7901639342308044,0.3931484520435333,0.8732057809829712,0.52357417345047,1.4500129222869873,0.7638888955116272,0.5357142686843872,0.4166666567325592,0.7569766044616699,0.5337792038917542,0.001
